team_a,team_b,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Argentina,Australia,1,1,5,7,71,14,14,Argentina,Australia
Argentina,Belgium,0,1,3,4,75,25,0,Argentina,Belgium
Argentina,Brazil,26,43,39,108,36,40,24,Argentina,Brazil
Argentina,Cameroon,1,1,0,2,0,50,50,Argentina,Cameroon
Argentina,Canada,0,0,1,1,100,0,0,Argentina,Canada
Argentina,Costa Rica,2,0,4,6,67,0,33,Argentina,Costa_Rica
Argentina,Croatia,1,2,2,5,40,40,20,Argentina,Croatia
Argentina,Denmark,1,1,0,2,0,50,50,Argentina,Denmark
Argentina,Ecuador,11,5,21,37,57,14,30,Argentina,Ecuador
Argentina,England,6,6,3,15,20,40,40,Argentina,England
Argentina,France,3,3,6,12,50,25,25,Argentina,France
Argentina,Germany,6,7,10,23,43,30,26,Argentina,Germany
Argentina,Ghana,0,0,1,1,100,0,0,Argentina,Ghana
Argentina,Iran,1,0,1,2,50,0,50,Argentina,Iran
Argentina,Japan,0,1,6,7,86,14,0,Argentina,Japan
Argentina,Mexico,12,4,15,31,48,13,39,Argentina,Mexico
Argentina,Morocco,0,0,3,3,100,0,0,Argentina,Morocco
Argentina,Netherlands,4,4,1,9,11,44,44,Argentina,Netherlands
Argentina,Poland,2,3,6,11,55,27,18,Argentina,Poland
Argentina,Portugal,1,2,5,8,62,25,12,Argentina,Portugal
Argentina,Qatar,0,0,2,2,100,0,0,Argentina,Qatar
Argentina,Saudi Arabia,2,0,2,4,50,0,50,Argentina,Saudi_Arabia
Argentina,Serbia,0,1,3,4,75,25,0,Argentina,Serbia
Argentina,South Korea,0,0,3,3,100,0,0,Argentina,South_Korea
Argentina,Spain,2,6,6,14,43,43,14,Argentina,Spain
Argentina,Switzerland,2,0,5,7,71,0,29,Argentina,Switzerland
Argentina,Tunisia,0,0,1,1,100,0,0,Argentina,Tunisia
Argentina,United States,2,2,6,10,60,20,20,Argentina,United_States
Argentina,Uruguay,43,52,84,179,47,29,24,Argentina,Uruguay
Argentina,Wales,1,0,1,2,50,0,50,Argentina,Wales
Australia,Argentina,1,5,1,7,14,71,14,Australia,Argentina
Australia,Belgium,0,1,0,1,0,100,0,Australia,Belgium
Australia,Brazil,1,6,1,8,12,75,12,Australia,Brazil
Australia,Cameroon,1,0,0,1,0,0,100,Australia,Cameroon
Australia,Canada,1,3,5,9,56,33,11,Australia,Canada
Australia,Costa Rica,0,0,1,1,100,0,0,Australia,Costa_Rica
Australia,Croatia,2,2,2,6,33,33,33,Australia,Croatia
Australia,Denmark,1,2,1,4,25,50,25,Australia,Denmark
Australia,Ecuador,0,1,0,1,0,100,0,Australia,Ecuador
Australia,England,2,4,1,7,14,57,29,Australia,England
Australia,France,1,3,1,5,20,60,20,Australia,France
Australia,Germany,1,4,1,6,17,67,17,Australia,Germany
Australia,Ghana,2,1,4,7,57,14,29,Australia,Ghana
Australia,Iran,2,3,2,7,29,43,29,Australia,Iran
Australia,Japan,9,11,6,26,23,42,35,Australia,Japan
Australia,Mexico,2,0,2,4,50,0,50,Australia,Mexico
Australia,Morocco,0,0,1,1,100,0,0,Australia,Morocco
Australia,Netherlands,2,1,1,4,25,25,50,Australia,Netherlands
Australia,Poland,0,0,1,1,100,0,0,Australia,Poland
Australia,Qatar,1,1,3,5,60,20,20,Australia,Qatar
Australia,Saudi Arabia,3,2,5,10,50,20,30,Australia,Saudi_Arabia
Australia,Serbia,1,0,1,2,50,0,50,Australia,Serbia
Australia,South Korea,11,8,9,28,32,29,39,Australia,South_Korea
Australia,Spain,0,1,0,1,0,100,0,Australia,Spain
Australia,Switzerland,1,0,0,1,0,0,100,Australia,Switzerland
Australia,Tunisia,0,1,0,1,0,100,0,Australia,Tunisia
Australia,United States,1,1,1,3,33,33,33,Australia,United_States
Australia,Uruguay,0,4,3,7,43,57,0,Australia,Uruguay
Australia,Wales,0,0,1,1,100,0,0,Australia,Wales
Belgium,Argentina,0,3,1,4,25,75,0,Belgium,Argentina
Belgium,Australia,0,0,1,1,100,0,0,Belgium,Australia
Belgium,Brazil,0,3,2,5,40,60,0,Belgium,Brazil
Belgium,Canada,0,0,1,1,100,0,0,Belgium,Canada
Belgium,Costa Rica,0,0,2,2,100,0,0,Belgium,Costa_Rica
Belgium,Croatia,2,3,3,8,38,38,25,Belgium,Croatia
Belgium,Denmark,3,6,7,16,44,38,19,Belgium,Denmark
Belgium,England,5,17,4,26,15,65,19,Belgium,England
Belgium,France,19,26,30,75,40,35,25,Belgium,France
Belgium,Germany,1,20,4,25,16,80,4,Belgium,Germany
Belgium,Japan,2,2,2,6,33,33,33,Belgium,Japan
Belgium,Mexico,2,3,2,7,29,43,29,Belgium,Mexico
Belgium,Morocco,0,1,2,3,67,33,0,Belgium,Morocco
Belgium,Netherlands,31,55,40,126,32,44,25,Belgium,Netherlands
Belgium,Poland,6,7,8,21,38,33,29,Belgium,Poland
Belgium,Portugal,7,6,6,19,32,32,37,Belgium,Portugal
Belgium,Qatar,0,0,1,1,100,0,0,Belgium,Qatar
Belgium,Saudi Arabia,0,1,2,3,67,33,0,Belgium,Saudi_Arabia
Belgium,Serbia,1,2,3,6,50,33,17,Belgium,Serbia
Belgium,South Korea,1,0,3,4,75,0,25,Belgium,South_Korea
Belgium,Spain,6,11,4,21,19,52,29,Belgium,Spain
Belgium,Switzerland,6,9,15,30,50,30,20,Belgium,Switzerland
Belgium,Tunisia,1,1,2,4,50,25,25,Belgium,Tunisia
Belgium,United States,0,1,5,6,83,17,0,Belgium,United_States
Belgium,Uruguay,0,0,2,2,100,0,0,Belgium,Uruguay
Belgium,Wales,5,5,6,16,38,31,31,Belgium,Wales
Brazil,Argentina,26,39,43,108,40,36,24,Brazil,Argentina
Brazil,Australia,1,1,6,8,75,12,12,Brazil,Australia
Brazil,Belgium,0,2,3,5,60,40,0,Brazil,Belgium
Brazil,Cameroon,0,1,5,6,83,17,0,Brazil,Cameroon
Brazil,Canada,2,0,2,4,50,0,50,Brazil,Canada
Brazil,Costa Rica,0,1,10,11,91,9,0,Brazil,Costa_Rica
Brazil,Croatia,1,0,3,4,75,0,25,Brazil,Croatia
Brazil,Denmark,0,1,3,4,75,25,0,Brazil,Denmark
Brazil,Ecuador,6,2,26,34,76,6,18,Brazil,Ecuador
Brazil,England,11,4,11,26,42,15,42,Brazil,England
Brazil,France,4,5,7,16,44,31,25,Brazil,France
Brazil,Germany,5,5,13,23,57,22,22,Brazil,Germany
Brazil,Ghana,0,0,5,5,100,0,0,Brazil,Ghana
Brazil,Iran,0,0,1,1,100,0,0,Brazil,Iran
Brazil,Japan,2,0,11,13,85,0,15,Brazil,Japan
Brazil,Mexico,7,10,24,41,59,24,17,Brazil,Mexico
Brazil,Morocco,0,0,2,2,100,0,0,Brazil,Morocco
Brazil,Netherlands,5,4,3,12,25,33,42,Brazil,Netherlands
Brazil,Poland,2,1,9,12,75,8,17,Brazil,Poland
Brazil,Portugal,3,4,14,21,67,19,14,Brazil,Portugal
Brazil,Qatar,0,0,1,1,100,0,0,Brazil,Qatar
Brazil,Saudi Arabia,0,0,5,5,100,0,0,Brazil,Saudi_Arabia
Brazil,Senegal,1,0,0,1,0,0,100,Brazil,Senegal
Brazil,Serbia,1,0,4,5,80,0,20,Brazil,Serbia
Brazil,South Korea,0,1,6,7,86,14,0,Brazil,South_Korea
Brazil,Spain,2,2,5,9,56,22,22,Brazil,Spain
Brazil,Switzerland,4,2,3,9,33,22,44,Brazil,Switzerland
Brazil,Tunisia,0,0,2,2,100,0,0,Brazil,Tunisia
Brazil,United States,0,1,17,18,94,6,0,Brazil,United_States
